Latitude Longitude Flood
2.969999999999999929e+01 -9.625000000000000000e+01 5.327169665838786770e-19
2.969999999999999929e+01 -9.620000000000000284e+01 5.135174076533512219e-19
2.969999999999999929e+01 -9.615000000000000568e+01 5.075159268569255715e-19
2.969999999999999929e+01 -9.609999999999999432e+01 4.046749581713683197e-19
2.969999999999999929e+01 -9.604999999999999716e+01 4.270075689946698642e-19
2.969999999999999929e+01 -9.600000000000000000e+01 4.533419302349762165e-19
2.969999999999999929e+01 -9.595000000000000284e+01 4.106727613982169124e-19
2.969999999999999929e+01 -9.590000000000000568e+01 4.294139047405606907e-19
2.969999999999999929e+01 -9.584999999999999432e+01 3.924218966217416873e-19
2.969999999999999929e+01 -9.579999999999999716e+01 3.434148372480633612e-19
2.969999999999999929e+01 -9.575000000000000000e+01 2.851570673267271079e-19
2.969999999999999929e+01 -9.570000000000000284e+01 2.676141827012824931e-19
2.969999999999999929e+01 -9.565000000000000568e+01 2.467979632486024802e-19
2.969999999999999929e+01 -9.515000000000000568e+01 2.941694414053311058e-19
2.969999999999999929e+01 -9.509999999999999432e+01 3.688032712098097591e-19
2.969999999999999929e+01 -9.504999999999999716e+01 4.356223093214027582e-19
2.969999999999999929e+01 -9.500000000000000000e+01 3.978007796839102458e-19
2.969999999999999929e+01 -9.495000000000000284e+01 5.525826317444020920e-19
2.969999999999999929e+01 -9.490000000000000568e+01 6.200501148346922131e-19
2.969999999999999929e+01 -9.484999999999999432e+01 6.484761486035660404e-19
2.969999999999999929e+01 -9.479999999999999716e+01 7.127321392496524050e-19
2.969999999999999929e+01 -9.475000000000000000e+01 7.705893189363175548e-19
2.969999999999999929e+01 -9.470000000000000284e+01 7.572357241611106307e-19
2.969999999999999929e+01 -9.465000000000000568e+01 7.514203016984940390e-19
2.969999999999999929e+01 -9.459999999999999432e+01 7.389813988276231049e-19
2.969999999999999929e+01 -9.454999999999999716e+01 7.155184829313874039e-19
2.969999999999999929e+01 -9.450000000000000000e+01 7.032226136334058420e-19
2.969999999999999929e+01 -9.445000000000000284e+01 6.238803827677991816e-19
2.969999999999999929e+01 -9.440000000000000568e+01 5.611158838166845472e-19
2.969999999999999929e+01 -9.434999999999999432e+01 4.917896389735278140e-19
2.969999999999999929e+01 -9.429999999999999716e+01 4.179278208624171955e-19
2.969999999999999929e+01 -9.425000000000000000e+01 3.634129317166243625e-19
2.969999999999999929e+01 -9.420000000000000284e+01 3.346726815653796067e-19
2.969999999999999929e+01 -9.415000000000000568e+01 3.084309861811040711e-19
